Event,Team1,Team2,Map,Score1,Score2,Winner,Region1,Region2
Champions 2025,Paper Rex,Xi Lai Gaming,Bind,13,9,Paper Rex,Pacific,CN
Champions 2025,Paper Rex,Xi Lai Gaming,Sunset,13,5,Paper Rex,Pacific,CN
Champions 2025,GIANTX,Sentinels,Corrode,6,13,Sentinels,EMEA,Americas
Champions 2025,GIANTX,Sentinels,Sunset,13,4,GIANTX,EMEA,Americas
Champions 2025,GIANTX,Sentinels,Haven,13,9,GIANTX,EMEA,Americas
Champions 2025,NRG,EDward Gaming,Abyss,17,15,NRG,Americas,CN
Champions 2025,NRG,EDward Gaming,Corrode,13,11,NRG,Americas,CN
Champions 2025,Team Liquid,DRX,Abyss,8,13,DRX,EMEA,Pacific
Champions 2025,Team Liquid,DRX,Bind,10,13,DRX,EMEA,Pacific
Champions 2025,Dragon Ranger Gaming,T1,Lotus,13,15,T1,Pacific,Pacific
Champions 2025,Dragon Ranger Gaming,T1,Sunset,14,16,T1,Pacific,Pacific
Champions 2025,G2 Esports,Team Heretics,Corrode,10,13,Team Heretics,Americas,EMEA
Champions 2025,G2 Esports,Team Heretics,Lotus,10,13,Team Heretics,Americas,EMEA
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,Haven,2,13,MIBR,CN,Americas
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,Corrode,9,13,MIBR,CN,Americas
Champions 2025,Rex Regum Qeon,FNATIC,Ascent,10,13,FNATIC,Pacific,EMEA
Champions 2025,Rex Regum Qeon,FNATIC,Abyss,7,13,FNATIC,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Ascent,11,13,GIANTX,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Lotus,13,10,Paper Rex,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Sunset,13,6,Paper Rex,Pacific,EMEA
Champions 2025,DRX,NRG,Haven,13,4,DRX,Pacific,Americas
Champions 2025,DRX,NRG,Corrode,11,13,NRG,Pacific,Americas
Champions 2025,DRX,NRG,Lotus,11,13,NRG,Pacific,Americas
Champions 2025,Team Heretics,T1,Lotus,13,10,Team Heretics,EMEA,Pacific
Champions 2025,Team Heretics,T1,Sunset,13,11,Team Heretics,EMEA,Pacific
Champions 2025,MIBR,FNATIC,Bind,13,5,MIBR,Americas,EMEA
Champions 2025,MIBR,FNATIC,Abyss,7,13,FNATIC,Americas,EMEA
Champions 2025,MIBR,FNATIC,Haven,10,13,FNATIC,Americas,EMEA
Champions 2025,Team Liquid,EDward Gaming,Sunset,3,13,EDward Gaming,EMEA,CN
Champions 2025,Team Liquid,EDward Gaming,Abyss,13,6,Team Liquid,EMEA,CN
Champions 2025,Team Liquid,EDward Gaming,Bind,15,13,Team Liquid,EMEA,CN
Champions 2025,Xi Lai Gaming,Sentinels,Abyss,10,13,Sentinels,CN,Americas
Champions 2025,Xi Lai Gaming,Sentinels,Lotus,13,11,Xi Lai Gaming,CN,Americas
Champions 2025,Xi Lai Gaming,Sentinels,Haven,13,8,Xi Lai Gaming,CN,Americas
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,Sunset,13,7,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,Pacific
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,Lotus,8,13,Rex Regum Qeon,CN,Pacific
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,Abyss,4,13,Rex Regum Qeon,CN,Pacific
Champions 2025,G2 Esports,Dragon Ranger Gaming,Lotus,13,7,G2 Esports,Americas,Pacific
Champions 2025,G2 Esports,Dragon Ranger Gaming,Abyss,13,7,G2 Esports,Americas,Pacific
Champions 2025,DRX,Team Liquid,Corrode,13,8,DRX,Pacific,EMEA
Champions 2025,DRX,Team Liquid,Abyss,13,7,DRX,Pacific,EMEA
Champions 2025,GIANTX,Xi Lai Gaming,Bind,14,12,GIANTX,EMEA,CN
Champions 2025,GIANTX,Xi Lai Gaming,Ascent,13,10,GIANTX,EMEA,CN
Champions 2025,T1,G2 Esports,Lotus,9,13,G2 Esports,Pacific,Americas
Champions 2025,T1,G2 Esports,Corrode,8,13,G2 Esports,Pacific,Americas
Champions 2025,MIBR,Rex Regum Qeon,Corrode,13,5,MIBR,Americas,Pacific
Champions 2025,MIBR,Rex Regum Qeon,Abyss,13,5,MIBR,Americas,Pacific
Champions 2025,Paper Rex,G2 Esports,Lotus,13,11,Paper Rex,Pacific,Americas
Champions 2025,Paper Rex,G2 Esports,Corrode,13,15,G2 Esports,Pacific,Americas
Champions 2025,Paper Rex,G2 Esports,Ascent,13,11,Paper Rex,Pacific,Americas
Champions 2025,FNATIC,DRX,Haven,13,11,FNATIC,EMEA,Pacific
Champions 2025,FNATIC,DRX,Ascent,8,13,DRX,EMEA,Pacific
Champions 2025,FNATIC,DRX,Lotus,13,5,FNATIC,EMEA,Pacific
Champions 2025,Team Heretics,MIBR,Corrode,12,14,MIBR,EMEA,Americas
Champions 2025,Team Heretics,MIBR,Sunset,6,13,MIBR,EMEA,Americas
Champions 2025,NRG,GIANTX,Haven,13,1,NRG,Americas,EMEA
Champions 2025,NRG,GIANTX,Lotus,13,6,NRG,Americas,EMEA
Champions 2025,DRX,G2 Esports,Lotus,7,13,G2 Esports,Pacific,Americas
Champions 2025,DRX,G2 Esports,Abyss,13,10,DRX,Pacific,Americas
Champions 2025,DRX,G2 Esports,Bind,13,7,DRX,Pacific,Americas
Champions 2025,Team Heretics,GIANTX,Ascent,13,4,Team Heretics,EMEA,EMEA
Champions 2025,Team Heretics,GIANTX,Lotus,3,13,GIANTX,EMEA,EMEA
Champions 2025,Team Heretics,GIANTX,Bind,13,9,Team Heretics,EMEA,EMEA
Champions 2025,FNATIC,Paper Rex,Bind,10,13,Paper Rex,EMEA,Pacific
Champions 2025,FNATIC,Paper Rex,Haven,13,4,FNATIC,EMEA,Pacific
Champions 2025,FNATIC,Paper Rex,Lotus,13,9,FNATIC,EMEA,Pacific
Champions 2025,MIBR,NRG,Abyss,14,16,NRG,Americas,Americas
Champions 2025,MIBR,NRG,Haven,13,4,MIBR,Americas,Americas
Champions 2025,MIBR,NRG,Corrode,14,16,NRG,Americas,Americas
Champions 2025,Paper Rex,Team Heretics,Ascent,13,11,Paper Rex,Pacific,EMEA
Champions 2025,Paper Rex,Team Heretics,Bind,9,13,Team Heretics,Pacific,EMEA
Champions 2025,Paper Rex,Team Heretics,Lotus,13,4,Paper Rex,Pacific,EMEA
Champions 2025,MIBR,DRX,Sunset,13,10,MIBR,Americas,Pacific
Champions 2025,MIBR,DRX,Ascent,13,15,DRX,Americas,Pacific
Champions 2025,MIBR,DRX,Bind,10,13,DRX,Americas,Pacific
Champions 2025,FNATIC,NRG,Ascent,12,14,NRG,EMEA,Americas
Champions 2025,FNATIC,NRG,Abyss,5,13,NRG,EMEA,Americas
Champions 2025,DRX,Paper Rex,Ascent,15,13,DRX,Pacific,Pacific
Champions 2025,DRX,Paper Rex,Lotus,13,8,DRX,Pacific,Pacific
Champions 2025,FNATIC,DRX,Sunset,8,13,DRX,EMEA,Pacific
Champions 2025,FNATIC,DRX,Corrode,13,3,FNATIC,EMEA,Pacific
Champions 2025,FNATIC,DRX,Haven,13,11,FNATIC,EMEA,Pacific
Champions 2025,FNATIC,DRX,Bind,13,4,FNATIC,EMEA,Pacific
Champions 2025,NRG,FNATIC,Corrode,13,3,NRG,Americas,EMEA
Champions 2025,NRG,FNATIC,Lotus,13,6,NRG,Americas,EMEA
Champions 2025,NRG,FNATIC,Abyss,13,15,FNATIC,Americas,EMEA
Champions 2025,NRG,FNATIC,Ascent,8,13,FNATIC,Americas,EMEA
Champions 2025,NRG,FNATIC,Sunset,13,5,NRG,Americas,EMEA
Masters Bangkok 2025,EDward Gaming,Team Liquid,Split,18,16,EDward Gaming,CN,EMEA
Masters Bangkok 2025,EDward Gaming,Team Liquid,Pearl,13,6,EDward Gaming,CN,EMEA
Masters Bangkok 2025,DRX,Sentinels,Lotus,13,3,DRX,Pacific,Americas
Masters Bangkok 2025,DRX,Sentinels,Haven,13,10,DRX,Pacific,Americas
Masters Bangkok 2025,Team Vitality,T1,Fracture,13,10,Team Vitality,EMEA,Pacific
Masters Bangkok 2025,Team Vitality,T1,Bind,13,9,Team Vitality,EMEA,Pacific
Masters Bangkok 2025,G2 Esports,Trace Esports,Lotus,13,8,G2 Esports,Americas,CN
Masters Bangkok 2025,G2 Esports,Trace Esports,Abyss,13,3,G2 Esports,Americas,CN
Masters Bangkok 2025,DRX,Team Vitality,Bind,8,13,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,DRX,Team Vitality,Abyss,13,11,DRX,Pacific,EMEA
Masters Bangkok 2025,DRX,Team Vitality,Split,11,13,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,EDward Gaming,G2 Esports,Pearl,16,18,G2 Esports,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Bind,13,8,EDward Gaming,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Fracture,13,4,EDward Gaming,CN,Americas
Masters Bangkok 2025,T1,Trace Esports,Lotus,13,3,T1,Pacific,CN
Masters Bangkok 2025,T1,Trace Esports,Haven,13,8,T1,Pacific,CN
Masters Bangkok 2025,Team Liquid,Sentinels,Lotus,7,13,Sentinels,EMEA,Americas
Masters Bangkok 2025,Team Liquid,Sentinels,Abyss,16,14,Team Liquid,EMEA,Americas
Masters Bangkok 2025,Team Liquid,Sentinels,Bind,13,1,Team Liquid,EMEA,Americas
Masters Bangkok 2025,T1,DRX,Fracture,13,11,T1,Pacific,Pacific
Masters Bangkok 2025,T1,DRX,Pearl,13,4,T1,Pacific,Pacific
Masters Bangkok 2025,G2 Esports,Team Liquid,Haven,13,5,G2 Esports,Americas,EMEA
Masters Bangkok 2025,G2 Esports,Team Liquid,Lotus,13,7,G2 Esports,Americas,EMEA
Masters Bangkok 2025,EDward Gaming,T1,Split,13,7,EDward Gaming,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Bind,6,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Pearl,13,11,EDward Gaming,CN,Pacific
Masters Bangkok 2025,Team Vitality,G2 Esports,Bind,13,15,G2 Esports,EMEA,Americas
Masters Bangkok 2025,Team Vitality,G2 Esports,Lotus,9,13,G2 Esports,EMEA,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Lotus,8,13,G2 Esports,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Split,7,13,G2 Esports,CN,Americas
Masters Bangkok 2025,T1,Team Vitality,Lotus,12,14,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,T1,Team Vitality,Haven,13,4,T1,Pacific,EMEA
Masters Bangkok 2025,T1,Team Vitality,Split,13,5,T1,Pacific,EMEA
Masters Bangkok 2025,EDward Gaming,T1,Bind,4,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Haven,10,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Fracture,14,12,EDward Gaming,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Split,5,13,T1,CN,Pacific
Masters Bangkok 2025,Team International,Team Thailand,Ascent,9,13,Team Thailand,Pacific,Pacific
Masters Bangkok 2025,G2 Esports,T1,Lotus,13,5,G2 Esports,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Haven,9,13,T1,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Abyss,13,11,G2 Esports,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Split,13,15,T1,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Pearl,14,16,T1,Americas,Pacific
Masters Toronto 2025,Team Heretics,Paper Rex,Pearl,1,13,Paper Rex,EMEA,Pacific
Masters Toronto 2025,Team Heretics,Paper Rex,Icebox,9,13,Paper Rex,EMEA,Pacific
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Icebox,13,10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,EMEA
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Haven,14,16,Team Liquid,CN,EMEA
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Sunset,13,10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,EMEA
Masters Toronto 2025,Sentinels,Wolves Esports,Split,13,11,Sentinels,Americas,CN
Masters Toronto 2025,Sentinels,Wolves Esports,Lotus,13,8,Sentinels,Americas,CN
Masters Toronto 2025,Gen.G,MIBR,Sunset,13,5,Gen.G,Pacific,Americas
Masters Toronto 2025,Gen.G,MIBR,Haven,13,1,Gen.G,Pacific,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Icebox,13,9,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Sunset,5,13,Sentinels,CN,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Lotus,9,13,Sentinels,CN,Americas
Masters Toronto 2025,Paper Rex,Gen.G,Ascent,11,13,Gen.G,Pacific,Pacific
Masters Toronto 2025,Paper Rex,Gen.G,Icebox,3,13,Gen.G,Pacific,Pacific
Masters Toronto 2025,Team Heretics,Wolves Esports,Pearl,10,13,Wolves Esports,EMEA,CN
Masters Toronto 2025,Team Heretics,Wolves Esports,Lotus,9,13,Wolves Esports,EMEA,CN
Masters Toronto 2025,Team Liquid,MIBR,Icebox,13,6,Team Liquid,EMEA,Americas
Masters Toronto 2025,Team Liquid,MIBR,Sunset,13,7,Team Liquid,EMEA,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Wolves Esports,Split,10,13,Wolves Esports,CN,CN
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Wolves Esports,Ascent,5,13,Wolves Esports,CN,CN
